,0,1,2,3,4
1020,Comedy,Drama,,,
1021,Drama,,,,
1022,Horror,,,,
1023,Drama,,,,
1024,War,Adventure,,,
1025,Documentary,,,,
1028,Thriller,Crime,Drama,,
1029,Documentary,,,,
1033,Horror,Thriller,,,
1035,Romance,Comedy,Drama,,
1036,Thriller,Horror,,,
1037,Horror,Mystery,Thriller,,
1039,Horror,Thriller,,,
1040,Drama,,,,
1041,Thriller,Drama,,,
1042,Horror,,,,
1043,Drama,Thriller,Action,Crime,
1044,Thriller,Drama,Crime,Mystery,
1045,Drama,Western,,,
1046,Adventure,Science Fiction,Fantasy,Family,
1047,Drama,,,,
1048,Horror,,,,
1049,Romance,Comedy,,,
1050,Family,Fantasy,Comedy,Romance,
1052,Romance,Drama,,,
1053,Thriller,War,Adventure,Drama,
1056,Comedy,,,,
1058,Comedy,Adventure,,,
1059,Mystery,Thriller,Crime,,
1060,Animation,Science Fiction,Action,,
1062,Drama,,,,
1063,Thriller,,,,
1066,Horror,,,,
1067,History,Documentary,Animation,,
1069,Romance,Comedy,Drama,,
1070,Documentary,,,,
1071,Drama,,,,
1072,Thriller,Science Fiction,Action,,
1073,Music,Drama,Comedy,,
1075,Action,Adventure,Thriller,Romance,
1076,Action,,,,
1077,TV Movie,Drama,History,,
1078,Drama,Crime,Thriller,,
1081,Romance,Comedy,,,
1083,Thriller,Horror,,,
1084,Comedy,Drama,Romance,,
1087,War,Drama,,,
1090,Horror,Thriller,Action,,
1091,Documentary,,,,
1092,Music,Drama,,,
1094,Drama,,,,
1095,Documentary,,,,
1096,Documentary,,,,
1099,Adventure,Family,,,
1100,TV Movie,Romance,Drama,Thriller,
1101,Adventure,Animation,Action,,
1102,Thriller,Horror,,,
1105,Documentary,,,,
1109,Horror,Science Fiction,Thriller,,
1112,Action,Animation,,,
1115,Drama,Thriller,,,
1116,Thriller,Action,Crime,,
1117,Drama,Documentary,Comedy,,
1119,Horror,Thriller,,,
1120,Music,Drama,,,
1121,Drama,,,,
1122,Crime,Drama,,,
1126,Drama,,,,
1128,Drama,Fantasy,Romance,,
1129,Animation,Comedy,Family,Adventure,
1130,Family,Science Fiction,,,
1131,Drama,,,,
1132,War,Action,,,
1133,Science Fiction,Action,Fantasy,,
1135,Drama,Mystery,Thriller,,
1136,Horror,Comedy,,,
1137,Drama,,,,
1138,History,Comedy,Documentary,,
1139,Adventure,Action,Animation,Fantasy,
1140,Family,Animation,Action,Science Fiction,
1142,Thriller,Horror,,,
1143,Action,Thriller,War,,
1144,Drama,,,,
1145,Horror,,,,
1146,Drama,,,,
1148,Music,Drama,,,
1150,Drama,,,,
1151,Horror,,,,
1153,Adventure,Documentary,,,
1156,Thriller,Horror,,,
1157,Thriller,Drama,Crime,,
1158,Action,Adventure,,,
1159,Comedy,,,,
1160,Horror,Thriller,,,
1161,Romance,Drama,,,
1162,Drama,,,,
1163,Adventure,Action,,,
1165,Thriller,Horror,Science Fiction,,
1166,Horror,Comedy,,,
1167,Horror,,,,
1169,Drama,Comedy,,,
1171,Thriller,Horror,,,
1175,Drama,Music,,,
1176,Animation,,,,
1178,TV Movie,Science Fiction,Action,Adventure,Horror
1179,Comedy,,,,
1180,Comedy,Drama,,,
